Sample in Buffer,Sample in Window,TRIGGER,emif_uart_exc_inst/uart_tx_data[7:0],emif_uart_exc_inst/uart_tx_data_valid,emif_uart_exc_inst/uart_rx_data[7:0],emif_uart_exc_inst/uart_rx_data_valid,emif_uart_exc_inst/emif_2_uart_din[7:0],emif_uart_exc_inst/emif_2_uart_wr_en,emif_uart_exc_inst/emif_2_uart_rd_en,emif_uart_exc_inst/emif_2_uart_dout[7:0],emif_uart_exc_inst/emif_uart_state[2:0],emif_uart_exc_inst/svm570_emif_2_uart_start,emif_uart_exc_inst/svm570_emif_2_uart_end,emif_uart_exc_inst/svm570_emif_2_uart_valid,emif_uart_exc_inst/svm570_emif_2_uart_data[7:0],emif_uart_exc_inst/emif_uart_rd,emif_uart_exc_inst/emif_uart_data[7:0],emif_uart_exc_inst/uart_4008_data_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
1,1,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
2,2,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
3,3,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
4,4,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
5,5,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
6,6,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
7,7,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
8,8,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
9,9,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
10,10,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
11,11,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
12,12,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
13,13,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
14,14,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
15,15,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
16,16,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
17,17,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
18,18,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
19,19,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
20,20,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
21,21,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
22,22,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
23,23,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
24,24,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
25,25,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
26,26,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
27,27,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
28,28,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
29,29,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
30,30,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
31,31,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
32,32,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
33,33,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
34,34,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
35,35,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
36,36,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
37,37,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
38,38,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
39,39,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
40,40,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
41,41,0,00,0,00,0,00,0,0,eb,"s1",0,0,1,d7,0,00,1
42,42,0,00,0,00,0,d7,1,0,eb,"s1",0,0,0,d7,0,00,1
43,43,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
44,44,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
45,45,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
46,46,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
47,47,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
48,48,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
49,49,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
50,50,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
51,51,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
52,52,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
53,53,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
54,54,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
55,55,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
56,56,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
57,57,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
58,58,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
59,59,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
60,60,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
61,61,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
62,62,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
63,63,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
64,64,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
65,65,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
66,66,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
67,67,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
68,68,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
69,69,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
70,70,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
71,71,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
72,72,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
73,73,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
74,74,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
75,75,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
76,76,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
77,77,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
78,78,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
79,79,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
80,80,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
81,81,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
82,82,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
83,83,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
84,84,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
85,85,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
86,86,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
87,87,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
88,88,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
89,89,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
90,90,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
91,91,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
92,92,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
93,93,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
94,94,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
95,95,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
96,96,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
97,97,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
98,98,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
99,99,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
100,100,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
101,101,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
102,102,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
103,103,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
104,104,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
105,105,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
106,106,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
107,107,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
108,108,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
109,109,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
110,110,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
111,111,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
112,112,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
113,113,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
114,114,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
115,115,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
116,116,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
