Sample in Buffer,Sample in Window,TRIGGER,design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxcharisk_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxdata_1[31:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxdisperr_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxnotintable_1[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,HEX,HEX,HEX
0,0,0,0000,3eff8a2a,0,0
1,1,0,0000,180f8402,0,0
2,2,0,0000,e2cd5022,0,0
3,3,0,0000,a0e94fac,0,0
4,4,0,0000,863cc175,0,0
5,5,0,0000,723a178b,0,0
6,6,0,0000,e34e2f9d,0,0
7,7,0,0000,b4d549a6,0,0
8,8,0,0000,9c0dbafd,0,0
9,9,0,0000,b2ef482d,0,0
10,10,0,0000,ef45ad61,0,0
11,11,0,0000,4749619c,0,0
12,12,0,0000,65b191b7,0,0
13,13,0,0000,ccd35da7,0,0
14,14,0,0000,fd73aae8,0,0
15,15,0,0000,26f00e28,0,0
16,16,0,0000,fac2d420,0,0
17,17,0,0000,42241f8e,0,0
18,18,0,0000,26d58ed9,0,0
19,19,0,0000,f406d6fe,0,0
20,20,0,0000,91743816,0,0
21,21,0,0000,579b663b,0,0
22,22,0,0000,28d8f35b,0,0
23,23,0,0000,2ee2f2d0,0,0
24,24,0,0000,5daae54c,0,0
25,25,0,0000,a80cccfd,0,0
26,26,0,0000,22f8f02b,0,0
27,27,0,0000,a962cc10,0,0
28,28,0,0000,31a0f74f,0,0
29,29,0,0000,db83a4c0,0,0
30,30,0,0000,dc32da08,0,0
31,31,0,0000,b8e6cbae,0,0
32,32,0,0000,64f19157,0,0
33,33,0,0000,d2d35827,0,0
34,34,0,0000,6572eee8,0,0
