Sample in Buffer,Sample in Window,TRIGGER,design_1_wrapper_inst/design_1_i/system_ila_2/inst/SLOT_0_JESD204_TX_BUS_txcharisk_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_2/inst/SLOT_0_JESD204_TX_BUS_txdata_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,0,3f4cf59d
1,1,0,0,04f381a8
2,2,0,0,52fc182a
3,3,0,0,6834ec09
4,4,0,0,299773b9
5,5,0,0,322ef772
6,6,0,0,e55baee4
7,7,0,0,cad15cd8
8,8,0,0,855bbee4
9,9,0,0,4ad61cd9
10,10,0,0,843dbef5
11,11,0,0,5a2e1b8d
12,12,0,0,c55cdee5
13,13,0,0,4bbf9cca
14,14,0,0,9609b983
15,15,0,0,3bbf7435
16,16,0,0,560f9982
17,17,0,0,3ac8f423
18,18,0,0,41a39fb0
19,19,0,0,1bb984cb
20,20,0,0,d7755996
21,21,0,0,2f8af23c
22,22,0,0,4f8ae23c
23,23,0,0,cf8da23d
24,24,0,0,ceeba22c
25,25,0,0,de13a578
26,26,0,0,9f72c568
27,27,0,0,8ee3422f
28,28,0,0,ddb62549
29,29,0,0,adb6cdb6
30,30,0,0,6db0edb7
31,31,0,0,6cc76da1
32,32,0,0,7b6b6b93
33,33,0,0,5a1a1b7b
34,34,0,0,ccccdd5d
35,35,0,0,f8ffabaa
36,36,0,0,60001000
37,37,0,0,80074001
38,38,0,0,01660011
39,39,0,0,10f80754
40,40,0,0,41616010
41,41,0,0,11918747
42,42,0,0,53556766
43,43,0,0,7000e8ff
44,44,0,0,c0062001
45,45,0,0,01778016
46,46,0,0,17ac0632
47,47,0,0,217170e8
48,48,0,0,96d6c626
49,49,0,0,343376f7
50,50,0,0,98ffbbaa
51,51,0,0,e0075001
52,52,0,0,81614010
53,53,0,0,119e0745
54,54,0,0,51996744
55,55,0,0,50f0e757
56,56,0,0,42c4e021
57,57,0,0,23558f99
58,58,0,0,b006c8fe
59,59,0,0,c171a017
60,60,0,0,16db8624
61,61,0,0,36dd76da
62,62,0,0,b7a7b6ce
63,63,0,0,a2e5b0d1
64,64,0,0,accccd5d
65,65,0,0,78f8ebab
66,66,0,0,61661011
67,67,0,0,90ff4755
68,68,0,0,40076001
69,69,0,0,01698013
70,70,0,0,12340776
71,71,0,0,61916fb8
72,72,0,0,93534767
73,73,0,0,717768e9
74,74,0,0,d7aa2633
75,75,0,0,2006f0fe
76,76,0,0,817ac014
77,77,0,0,1542061f
78,78,0,0,0e297d8c
79,79,0,0,d43426f6
80,80,0,0,199efbba
81,81,0,0,f1995744
82,82,0,0,d0f82754
83,83,0,0,416ee012
84,84,0,0,135d8765
85,85,0,0,73a568ce
86,86,0,0,f2c228df
87,87,0,0,e2242f8e
88,88,0,0,a6dd4eda
89,89,0,0,f7acd6cd
90,90,0,0,a17c30ea
91,91,0,0,9438c60b
92,92,0,0,1b6b7b93
93,93,0,0,da1d5b7a
94,94,0,0,cdaadd4c
95,95,0,0,e807acfe
96,96,0,0,21617010
97,97,0,0,9196c746
98,98,0,0,52336777
99,99,0,0,60f8efab
100,100,1,0,81674011
101,101,0,0,10e60751
102,102,0,0,44f96154
103,103,0,0,51719817
104,104,0,0,56d0e627
105,105,0,0,3544f6e1
106,106,0,0,8f53bd98
107,107,0,0,c17620e9
108,108,0,0,17b78636
109,109,0,0,25ad71b2
110,110,0,0,c966dcee
111,111,0,0,b0f7b756
112,112,0,0,c3a5a031
113,113,0,0,32cb88dc
114,114,0,0,e19fafba
115,115,0,0,91814740
116,116,0,0,541f6605
117,117,0,0,1588f943
118,118,0,0,07a17e30
119,119,0,0,639410c6
120,120,0,0,ba174b79
121,121,0,0,4e259d71
122,122,0,0,d6c1a6df
123,123,0,0,321af784
124,124,0,0,eccbad5c
125,125,0,0,79916bb8
126,126,0,0,73521767
127,127,0,0,f16e28ed
128,128,0,0,d3542766
129,129,0,0,701ee8fa
130,130,0,0,c59e2145
131,131,0,0,41979f46
132,132,0,0,12298773
133,133,0,0,64356ef6
134,134,0,0,d9835bbf
135,135,0,0,f432d608
136,136,0,0,98e43bae
137,137,0,0,e4db515b
138,138,0,0,ded15ad8
139,139,0,0,955ac6e4
140,140,0,0,0ac37cdf
141,141,0,0,823c3f8a
142,142,0,0,223a0f8b
143,143,0,0,a34acf9c
144,144,0,0,b580c9bf
145,145,0,0,8409be03
146,146,0,0,53be1835
147,147,0,0,761ce985
148,148,0,0,bdb63549
149,149,0,0,2db18db7
150,150,0,0,6cd6eda6
151,151,0,0,7c3f6af5
152,152,0,0,3a0a0b83
153,153,0,0,4b8b9c3c
154,154,0,0,9f99ba3b
155,155,0,0,88ff4355
156,156,0,0,a0063001
157,157,0,0,8170c017
158,158,0,0,16ca0623
159,159,0,0,318977bc
160,160,0,0,d7b7a636
161,161,0,0,25a2f1b0
162,162,0,0,cbaadccc
163,163,0,0,9007b8fe
164,164,0,0,41676011
165,165,0,0,10e98753
166,166,0,0,46356176
167,167,0,0,718197bf
168,168,0,0,d4122607
169,169,0,0,1766f96e
170,170,0,0,28f97354
171,171,0,0,2176f016
172,172,0,0,97bac634
173,173,0,0,2743719f
174,174,0,0,e63ed18a
175,175,0,0,f2155786
176,176,0,0,ee082d7c
177,177,0,0,5bad6432
178,178,0,0,d160d8ef
179,179,0,0,518ee742
180,180,0,0,56dce625
181,181,0,0,37b4f6c9
182,182,0,0,a593b1b8
183,183,0,0,c374df69
184,184,0,0,3f9f8a3a
185,185,0,0,098f8342
186,186,0,0,b6cc3622
187,187,0,0,b0f9b7ab
188,188,0,0,c17da015
189,189,0,0,142b860c
190,190,0,0,1c1d7afa
191,191,0,0,b5a5494e
192,192,0,0,8acdbcdd
193,193,0,0,80ee3fad
194,194,0,0,07520167
195,195,0,0,616810ec
196,196,0,0,92274771
197,197,0,0,66e76ed1
198,198,0,0,fceb5553
199,199,0,0,36100978
200,200,0,0,bf43b560
201,201,0,0,06358189
202,202,0,0,718417be
203,203,0,0,d5562619
204,204,0,0,0836fcf6
205,205,0,0,a9b833b4
206,206,0,0,3f68f593
207,207,0,0,0a238370
208,208,0,0,87bc3eca
209,209,0,0,663a118b
210,210,0,0,f34f579d
211,211,0,0,f4c029a0
212,212,0,0,9a0c3b82
213,213,0,0,cafb5c2b
214,214,0,0,8953bc18
215,215,0,0,b97634e9
216,216,0,0,77b19637
217,217,0,0,a4d231a7
218,218,0,0,dd60daef
219,219,0,0,a18ecf42
220,220,0,0,96d0c627
221,221,0,0,354b76e3
222,222,0,0,8d9fbdba
223,223,0,0,e1862f41
224,224,0,0,95754616
225,225,0,0,078f7e3d
226,226,0,0,6ecc1222
227,227,0,0,50f767a9
228,228,0,0,43a8e033
229,229,0,0,302588f1
230,230,0,0,cec7a2de
231,231,0,0,d363a790
232,232,0,0,79b2eb48
233,233,0,0,7cee15ad
234,234,0,0,375e0965
235,235,0,0,a39bb0c4
236,236,0,0,b8d4cb59
237,237,0,0,6c1992fb
238,238,0,0,74f36957
239,239,0,0,92fa382b
240,240,0,0,69436c1f
241,241,0,0,3e3b758b
242,242,0,0,135f879a
243,243,0,0,738d68c2
244,244,0,0,fee22a2f
245,245,0,0,1da4054e
246,246,0,0,aad14cd8
247,247,0,0,055cfee5
248,248,0,0,4bb01cc8
249,249,0,0,94c5b9a1
250,250,0,0,1b4f7b9d
251,251,0,0,d4cd59a2
252,252,0,0,18eafbac
253,253,0,0,e609517c
254,254,0,0,fbb95434
255,255,0,0,57781994
256,256,0,0,2d64f211
257,257,0,0,60d2ef58
258,258,0,0,8d6f42ed
259,259,0,0,e3462f61
260,260,0,0,b7754996
261,261,0,0,af8db23d
262,262,0,0,4eece22d
263,263,0,0,df75a569
264,264,0,0,8f8ac23c
265,265,0,0,cf82223f
