Sample in Buffer,Sample in Window,TRIGGER,sysref,tx_ready,tx_data[127:0],rx_sync_0_OBUF,tx_sync_0_IBUF,rx_valid_1,locked,rst_204,rx_valid,rx_data[127:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,1,c6925089c692508ac692508bc692508c,0,1,0,1,0,0,00000000000000000000000000000000
1,1,0,1,1,c692508ac692508bc692508cc692508d,0,1,0,1,0,0,00000000000000000000000000000000
2,2,0,1,1,c692508bc692508cc692508dc692508e,0,1,0,1,0,0,00000000000000000000000000000000
3,3,0,1,1,c692508cc692508dc692508ec692508f,0,1,0,1,0,0,00000000000000000000000000000000
4,4,0,1,1,c692508dc692508ec692508fc6925090,0,1,0,1,0,0,00000000000000000000000000000000
5,5,0,1,1,c692508ec692508fc6925090c6925091,0,1,0,1,0,0,00000000000000000000000000000000
6,6,0,1,1,c692508fc6925090c6925091c6925092,0,1,0,1,0,0,00000000000000000000000000000000
7,7,0,1,1,c6925090c6925091c6925092c6925093,0,1,0,1,0,0,00000000000000000000000000000000
8,8,0,1,1,c6925091c6925092c6925093c6925094,0,1,0,1,0,0,00000000000000000000000000000000
9,9,0,1,1,c6925092c6925093c6925094c6925095,0,1,0,1,0,0,00000000000000000000000000000000
10,10,0,1,1,c6925093c6925094c6925095c6925096,0,1,0,1,0,0,00000000000000000000000000000000
11,11,0,1,1,c6925094c6925095c6925096c6925097,0,1,0,1,0,0,00000000000000000000000000000000
12,12,0,1,1,c6925095c6925096c6925097c6925098,0,1,0,1,0,0,00000000000000000000000000000000
13,13,0,1,1,c6925096c6925097c6925098c6925099,0,1,0,1,0,0,00000000000000000000000000000000
14,14,0,1,1,c6925097c6925098c6925099c692509a,0,1,0,1,0,0,00000000000000000000000000000000
15,15,0,1,1,c6925098c6925099c692509ac692509b,0,1,0,1,0,0,00000000000000000000000000000000
16,16,0,1,1,c6925099c692509ac692509bc692509c,0,1,0,1,0,0,00000000000000000000000000000000
17,17,0,1,1,c692509ac692509bc692509cc692509d,0,1,0,1,0,0,00000000000000000000000000000000
18,18,0,1,1,c692509bc692509cc692509dc692509e,0,1,0,1,0,0,00000000000000000000000000000000
19,19,0,1,1,c692509cc692509dc692509ec692509f,0,1,0,1,0,0,00000000000000000000000000000000
20,20,0,1,1,c692509dc692509ec692509fc69250a0,0,1,0,1,0,0,00000000000000000000000000000000
21,21,0,1,1,c692509ec692509fc69250a0c69250a1,0,1,0,1,0,0,00000000000000000000000000000000
22,22,0,1,1,c692509fc69250a0c69250a1c69250a2,0,1,0,1,0,0,00000000000000000000000000000000
23,23,0,1,1,c69250a0c69250a1c69250a2c69250a3,0,1,0,1,0,0,00000000000000000000000000000000
24,24,0,1,1,c69250a1c69250a2c69250a3c69250a4,0,1,0,1,0,0,00000000000000000000000000000000
25,25,0,1,1,c69250a2c69250a3c69250a4c69250a5,0,1,0,1,0,0,00000000000000000000000000000000
26,26,0,1,1,c69250a3c69250a4c69250a5c69250a6,0,1,0,1,0,0,00000000000000000000000000000000
