Sample in Buffer,Sample in Window,TRIGGER,top_jesd204_inst/rx_data[255:0],top_jesd204_inst/rx_valid,top_jesd204_inst/sys_rst_n,top_jesd204_inst/rx_sync_0,top_jesd204_inst/sysref,top_jesd204_inst/rst_204
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,f1f2dd720ff83fc0f8071ff4f1f2dd726073fa89dd724faadd724faac383de72,1,0,1,0,0
1,1,0,f2f2de7210f840c0f90720f4f2f2de726173fb89de7250aade7250aac483df72,1,0,1,0,0
2,2,0,f3f2df7211f841c0fa0721f4f3f2df726273fc89df7251aadf7251aac583e072,1,0,1,0,0
3,3,0,f4f2e07212f842c0fb0722f4f4f2e0726373fd89e07252aae07252aac683e172,1,0,1,0,0
4,4,0,f5f2e17213f843c0fc0723f4f5f2e1726473fe89e17253aae17253aac783e272,1,0,1,0,0
5,5,0,f6f2e27214f844c0fd0724f4f6f2e2726573ff89e27254aae27254aac883e372,1,0,1,0,0
6,6,0,f7f2e37215f845c0fe0725f4f7f2e3726673008ae37255aae37255aac983e472,1,0,1,0,0
7,7,0,f8f2e47216f846c0ff0726f4f8f2e4726773018ae47256aae47256aaca83e572,1,0,1,1,0
8,8,0,f9f2e57217f847c0000827f4f9f2e5726873028ae57257aae57257aacb83e672,1,0,1,1,0
9,9,0,faf2e67218f848c0010828f4faf2e6726973038ae67258aae67258aacc83e772,1,0,1,1,0
10,10,0,fbf2e77219f849c0020829f4fbf2e7726a73048ae77259aae77259aacd83e872,1,0,1,1,0
11,11,0,fcf2e8721af84ac003082af4fcf2e8726b73058ae8725aaae8725aaace83e972,1,0,1,1,0
12,12,0,fdf2e9721bf84bc004082bf4fdf2e9726c73068ae9725baae9725baacf83ea72,1,0,1,1,0
13,13,0,fef2ea721cf84cc005082cf4fef2ea726d73078aea725caaea725caad083eb72,1,0,1,1,0
